participant_id,training1_type,training1_num_files,training2_type,training2_num_files,induction1_num_files,induction2_num_files,unknown_num_files,total_files
453,negative,20,positive,20,1,0,0,41
459,negative,20,positive,20,1,0,0,41
460,negative,19,positive,19,1,0,0,39
467,positive,20,negative,20,1,0,0,41
469,negative,19,positive,19,1,0,0,39
471,positive,19,negative,19,0,0,0,38
472,positive,17,negative,14,1,0,0,32
502,positive,20,negative,20,1,0,0,41
507,positive,20,negative,20,1,0,0,41
512,negative,20,positive,20,1,0,0,41
516,positive,19,negative,19,1,0,0,39
518,positive,20,negative,20,1,0,0,41
52,negative,20,positive,20,1,0,0,41
531,positive,20,negative,20,1,1,0,42
535,positive,19,negative,20,1,0,0,40
536,negative,20,positive,20,1,0,0,41
537,positive,22,negative,20,1,0,1,44
539,positive,20,negative,20,1,1,0,42
545,negative,20,positive,20,1,0,0,41
552,negative,20,positive,20,1,0,0,41
553,positive,20,negative,20,1,0,0,41
556,negative,20,positive,20,1,0,0,41
559,positive,20,negative,20,1,0,0,41
565,positive,20,negative,20,1,0,0,41
568,negative,18,positive,16,1,0,0,35
572,none,0,none,0,0,0,1,1
574,negative,20,positive,20,1,0,0,41
577,negative,20,positive,20,1,1,0,42
592,positive,20,negative,20,1,1,0,42
593,negative,20,positive,20,1,1,0,42
594,positive,20,negative,20,1,0,0,41
60,positive,20,negative,20,1,0,0,41
603,negative,20,positive,18,1,1,0,40
610,negative,20,positive,20,1,0,0,41
613,positive,20,negative,19,1,1,0,41
615,positive,20,negative,20,1,1,0,42
616,positive,20,negative,20,1,1,0,42
624,negative,20,positive,20,1,1,0,42
629,negative,20,positive,20,1,1,0,42
634,positive,20,negative,20,1,1,0,42
637,positive,20,negative,20,1,1,0,42
640,positive,20,negative,20,1,1,0,42
641,negative,20,positive,20,1,1,0,42
652,negative,20,positive,20,1,1,0,42
655,negative,20,positive,20,1,1,0,42
662,positive,20,negative,20,1,1,0,42
664,negative,20,positive,16,1,1,0,38
666,positive,20,negative,20,1,1,0,42
673,negative,20,positive,20,1,1,0,42
674,positive,20,negative,20,1,1,0,42
683,negative,20,positive,20,1,1,0,42
691,negative,20,positive,20,1,1,0,42
692,negative,20,positive,20,1,1,0,42
699,negative,20,positive,20,1,1,0,42
7,positive,20,negative,20,1,1,0,42
705,positive,20,negative,20,1,1,0,42
706,positive,20,negative,20,1,1,0,42
709,negative,20,positive,20,1,1,0,42
71,positive,20,negative,20,1,0,0,41
720,negative,20,positive,20,1,1,0,42
726,negative,20,positive,20,1,1,0,42
731,negative,20,positive,20,1,1,0,42
732,positive,20,negative,20,1,1,0,42
735,positive,20,negative,20,1,1,0,42
74,negative,20,positive,20,1,0,0,41
741,negative,20,positive,20,1,1,0,42
742,positive,20,negative,20,1,1,0,42
745,positive,20,negative,20,1,1,0,42
746,negative,20,positive,20,1,1,0,42
747,positive,20,negative,20,1,1,0,42
753,negative,20,positive,20,1,1,0,42
756,negative,20,positive,20,1,1,0,42
760,none,0,none,0,1,0,0,1
763,negative,20,positive,20,1,1,0,42
769,negative,20,positive,20,1,1,0,42
77,none,0,none,0,0,0,1,1
770,positive,20,negative,20,1,1,0,42
777,positive,20,negative,20,1,1,0,42
783,positive,20,negative,20,1,1,0,42
788,positive,20,negative,20,1,1,0,42
8,none,0,negative,20,1,1,20,22
806,positive,20,negative,20,1,1,0,42
808,positive,20,negative,20,1,1,1,43
824,negative,20,positive,20,1,1,0,42
834,negative,20,positive,20,1,1,0,42
845,negative,20,positive,20,1,1,0,42
846,positive,20,negative,20,1,1,0,42
856,positive,20,negative,20,1,1,0,42
857,positive,20,negative,20,1,1,0,42
858,positive,20,negative,19,1,1,0,41
859,positive,20,negative,20,1,1,0,42
861,negative,20,positive,20,1,1,0,42
865,positive,20,negative,20,1,1,0,42
866,negative,20,positive,20,1,1,0,42
875,negative,20,positive,20,1,1,0,42
877,positive,20,negative,20,1,1,0,42
887,negative,20,positive,20,1,1,0,42
905,positive,20,negative,20,1,1,0,42
907,negative,20,positive,20,1,1,0,42
910,positive,20,negative,20,1,1,0,42
911,positive,20,negative,20,1,1,0,42
929,positive,20,negative,20,1,1,0,42
932,negative,20,positive,20,1,1,0,42
933,positive,20,negative,20,1,1,0,42
94,none,0,none,0,0,0,2,2
940,negative,20,positive,20,1,1,0,42
952,negative,20,positive,20,1,1,0,42
954,negative,20,positive,20,1,1,0,42
955,negative,20,positive,20,1,1,0,42
96,negative,20,positive,20,1,0,0,41
982,positive,20,negative,20,1,1,0,42
984,negative,20,positive,20,1,1,0,42
987,negative,20,positive,20,1,1,0,42
992,positive,20,negative,20,1,1,0,42
995,negative,20,positive,20,1,1,0,42
997,positive,20,negative,20,1,1,0,42
998,negative,20,positive,20,1,1,0,42
