model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,f1_micro_mean,f1_micro_std,roc_auc_mean,roc_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,specificity_mean,specificity_std
AdaBoost,0.8502857142857143,0.059961392549024085,0.8509975845410628,0.11416681665857024,0.8743128948346339,0.05029521649618674,0.8743128948346339,0.05029521649618674,0.8571538461538462,0.05219983223351488,0.849428080682378,0.06098556184296752,0.8492193569346537,0.06169090343267415,0.8502857142857143,0.059961392549024085,0.9306731304122609,0.05262389961171524,20.0,2.6457513110645907,4.2,3.7682887362833544,3.2,1.3038404810405297,22.0,1.2247448713915894,0.8325947096381879,0.14268311940509495
DecisionTree,0.8139591836734693,0.06268755282723108,0.8023325150611507,0.11460061597752706,0.8571034311903876,0.03374819285382962,0.8571034311903876,0.03374819285382962,0.8249056477291772,0.05850643320507524,0.8130661962564067,0.06307522385306015,0.813076541460453,0.06346495764395901,0.8139591836734693,0.06268755282723108,0.8650812607682173,0.053716114431932714,18.6,1.8165902124584952,5.6,3.4351128074635335,3.6,0.894427190999916,21.6,1.5165750888103098,0.7755913651565826,0.13029356897246142
KNN,0.8341224489795918,0.07467134710940802,0.8157431761786601,0.11583377653954503,0.8900279945497337,0.05632576281133794,0.8900279945497337,0.05632576281133794,0.8465279847788171,0.06499216445627488,0.8325942669309647,0.07609391673458361,0.8324471831051365,0.0765906881262894,0.8341224489795918,0.07467134710940802,0.9254521284190849,0.051668840895040015,18.8,2.7748873851023217,5.4,3.9115214431215892,2.8,1.4832396974191326,22.4,1.5165750888103098,0.7832034052903618,0.14936284602329608
LogisticRegression,0.8744489795918368,0.06501568067674823,0.8390210147451527,0.09982370909200523,0.9458233618233619,0.06473955619465863,0.9458233618233619,0.06473955619465863,0.8849828820417056,0.057854473593846135,0.8731558891228588,0.06623207150828199,0.8729488685479037,0.06691233084681412,0.8744489795918368,0.06501568067674823,0.941415161199509,0.04561236325226772,19.4,2.073644135332772,4.8,3.420526275297414,1.4,1.6733200530681511,23.8,1.6431676725154984,0.8078990574642748,0.1281546738163765
RandomForest,0.842204081632653,0.043508749066302164,0.8154514106583072,0.08307106092815322,0.9058233618233619,0.07192736835598491,0.9058233618233619,0.07192736835598491,0.853682408635969,0.03898354416778952,0.8404783209051037,0.044063471600270736,0.8405347127061594,0.045148355332240236,0.842204081632653,0.043508749066302164,0.9435260628582368,0.038949291569599004,18.8,2.280350850198276,5.4,3.0495901363953806,2.4,1.816590212458495,22.8,1.9235384061671346,0.7806263301915476,0.11200004777961906
SVC_RBF,0.8744489795918368,0.08047681726715504,0.8468805388160228,0.10968813985914383,0.9291277096494488,0.06367168255259768,0.9291277096494488,0.06367168255259768,0.8831371284201474,0.07428561185114915,0.8736958500191356,0.08109549956972119,0.8735952572254687,0.08140012223041679,0.8744489795918368,0.08047681726715504,0.9397906575228314,0.05141892265239751,19.8,2.16794833886788,4.4,3.361547262794322,1.8,1.6431676725154984,23.4,1.9493588689617927,0.8239866220735786,0.12958075267340616
XGBoost,0.8542857142857143,0.05632505174042029,0.8450795581230365,0.10187892591899185,0.8904159544159544,0.07126059968586246,0.8904159544159544,0.07126059968586246,0.8619016111524436,0.05042674102101669,0.8531775022749681,0.05732821773139755,0.8530386118785064,0.05796689614737567,0.8542857142857143,0.05632505174042029,0.943878146459016,0.035338859779554935,19.8,2.588435821108957,4.4,3.507135583350036,2.8,1.7888543819998317,22.4,1.6733200530681507,0.8232034052903618,0.13262322286516293
